text,favorited,favoriteCount,replyToSN,created,truncated,replyToSID,id,replyToUID,statusSource,screenName,retweetCount,isRetweet,retweeted,longitude,latitude
@lionsdenkxip Wriddhiman Saha #GuessTheSher,FALSE,0,lionsdenkxip,10/24/2014 14:15,FALSE,5.25651E+17,5.25652E+17,30631766,"<a href=""https://about.twitter.com/products/tweetdeck"" rel=""nofollow"">TweetDeck</a>",THEGR8HERO,0,FALSE,FALSE,NA,NA
"""@lionsdenkxip: #GuessTheSher Which SHER got hit on the helmet but continued batting during a CLT20 game? http://t.co/AjAnd77Mq3""",FALSE,0,NA,10/24/2014 14:15,FALSE,NA,5.25652E+17,NA,"<a href=""http://blackberry.com/twitter"" rel=""nofollow"">Twitter for BlackBerry®</a>",ImranHosein3,0,FALSE,FALSE,NA,NA
RT @lionsdenkxip: #GuessTheSher Which SHER got hit on the helmet but continued batting during a CLT20 game? http://t.co/3YW3o1fAab,FALSE,0,NA,10/24/2014 14:15,FALSE,NA,5.25652E+17,NA,"<a href=""https://roundteam.co"" rel=""nofollow"">RoundTeam</a>",iplscoreupdate,10,TRUE,FALSE,NA,NA
@lionsdenkxip Wriddhiman Saha #GuessTheSher,FALSE,0,lionsdenkxip,10/24/2014 14:15,FALSE,5.25651E+17,5.25652E+17,30631766,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>",AayushVarma18,0,FALSE,FALSE,NA,NA
RT @lionsdenkxip: .@ImMananVohra has been included in India A squad for the tour match vs Sri Lanka. Congrats Manan &amp; chak dena phatte! htt…,FALSE,0,NA,10/24/2014 14:14,FALSE,NA,5.25651E+17,NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>",Manan54mania,33,TRUE,FALSE,NA,NA
@lionsdenkxip you promised me to dispatch my prize and now you are taking so much of time :(:(,FALSE,0,lionsdenkxip,10/24/2014 14:05,FALSE,NA,5.25649E+17,30631766,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",CrickyYash,0,FALSE,FALSE,NA,NA
@RubyNarula02 Yes we are big big fans ������ love @lionsdenkxip ������,FALSE,0,RubyNarula02,10/24/2014 13:59,FALSE,5.25644E+17,5.25648E+17,2572221794,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",deepchauhan45,0,FALSE,FALSE,NA,NA
@lionsdenkxip @DavidMillerSA12 t's very interesting http://t.co/wmtoM4kyBE,FALSE,0,lionsdenkxip,10/24/2014 11:59,FALSE,5.25602E+17,5.25618E+17,30631766,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>",manojm2m,0,FALSE,FALSE,NA,NA
@Riteishd @lionsdenkxip @BeingSalmanKhan @iHrithik @BeingSalmanKhan http://t.co/gQbSA5FITK,FALSE,0,Riteishd,10/24/2014 11:41,FALSE,NA,5.25613E+17,57998991,"<a href=""http://store.ovi.com/content/256340"" rel=""nofollow"">Twitter for Nokia S40</a>",8872099827,0,FALSE,FALSE,NA,NA
RT @lionsdenkxip: Congratulations to our lion @DavidMillerSA12 and South Africa for winning 2nd ODI against New Zealand by 72 runs. http://…,FALSE,0,NA,10/24/2014 11:03,FALSE,NA,5.25604E+17,NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>",iambehrami,11,TRUE,FALSE,NA,NA
@lionsdenkxip congrats Killer Miller!!! @davidmillersa12,FALSE,0,lionsdenkxip,10/24/2014 11:03,FALSE,5.25602E+17,5.25604E+17,30631766,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Mobile Web (M2)</a>",surbhiholic,0,FALSE,FALSE,NA,NA
RT @lionsdenkxip: Congratulations to our lion @DavidMillerSA12 and South Africa for winning 2nd ODI against New Zealand by 72 runs. http://…,FALSE,0,NA,10/24/2014 11:03,FALSE,NA,5.25603E+17,NA,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Mobile Web (M2)</a>",surbhiholic,11,TRUE,FALSE,NA,NA
RT @lionsdenkxip: Congratulations to our lion @DavidMillerSA12 and South Africa for winning 2nd ODI against New Zealand by 72 runs. http://…,FALSE,0,NA,10/24/2014 11:02,FALSE,NA,5.25603E+17,NA,"<a href=""https://roundteam.co"" rel=""nofollow"">RoundTeam</a>",SupportIPL,11,TRUE,FALSE,NA,NA
RT @lionsdenkxip: Congratulations to our lion @DavidMillerSA12 and South Africa for winning 2nd ODI against New Zealand by 72 runs. http://…,FALSE,0,NA,10/24/2014 11:01,FALSE,NA,5.25603E+17,NA,"<a href=""https://roundteam.co"" rel=""nofollow"">RoundTeam</a>",BCCITV,11,TRUE,FALSE,NA,NA
RT @lionsdenkxip: Congratulations to our lion @DavidMillerSA12 and South Africa for winning 2nd ODI against New Zealand by 72 runs. http://…,FALSE,0,NA,10/24/2014 11:00,FALSE,NA,5.25603E+17,NA,"<a href=""http://blackberry.com/twitter"" rel=""nofollow"">Twitter for BlackBerry®</a>",fatsdanka,11,TRUE,FALSE,NA,NA
RT @lionsdenkxip: Congratulations to our lion @DavidMillerSA12 and South Africa for winning 2nd ODI against New Zealand by 72 runs. http://…,FALSE,0,NA,10/24/2014 11:00,FALSE,NA,5.25603E+17,NA,"<a href=""https://roundteam.co"" rel=""nofollow"">RoundTeam</a>",iplscoreupdate,11,TRUE,FALSE,NA,NA
